epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.657,1.10092,4.26501,1.2457,0.03012,0.73309,0.07145,0.05327,0.9275,3.6089,1.02734,0.000114534,0.000114534,0.000114534
2,488.024,1.01628,3.4313,1.17771,0.17288,0.23083,0.13917,0.10193,0.98669,2.79446,1.06863,0.00022499,0.00022499,0.00022499
3,731.632,1.02506,2.81644,1.20197,0.27829,0.29838,0.22208,0.16594,0.94158,2.49858,1.03537,0.000330891,0.000330891,0.000330891
4,1113.27,0.98682,2.48617,1.16713,0.32746,0.34751,0.29795,0.22665,0.89626,2.15859,1.01663,0.000324507,0.000324507,0.000324507
5,1236.88,0.94975,2.31961,1.1384,0.34644,0.45909,0.34297,0.25875,0.87924,2.05737,1.01068,0.000317676,0.000317676,0.000317676
6,1359.88,0.92821,2.22024,1.13254,0.50534,0.39715,0.38266,0.29416,0.87276,1.95847,0.98429,0.000310845,0.000310845,0.000310845
7,1484.8,0.90767,2.11054,1.1188,0.47819,0.46575,0.46549,0.36092,0.85352,1.80169,0.99777,0.000304014,0.000304014,0.000304014
8,1607.15,0.89629,2.00381,1.10436,0.56506,0.47361,0.51699,0.40089,0.84478,1.70409,0.98812,0.000297183,0.000297183,0.000297183
9,1732.7,0.88561,1.93978,1.10061,0.46777,0.55431,0.51322,0.40625,0.81075,1.70823,0.98076,0.000290352,0.000290352,0.000290352
10,1857.71,0.8736,1.8874,1.09305,0.4443,0.58331,0.5284,0.40655,0.84868,1.64503,0.9812,0.000283521,0.000283521,0.000283521
11,1979.33,0.86319,1.78895,1.08258,0.63948,0.53194,0.58576,0.45706,0.80751,1.53088,0.96562,0.00027669,0.00027669,0.00027669
12,2102.81,0.84948,1.75282,1.08126,0.56234,0.59372,0.60322,0.47502,0.79186,1.49218,0.94392,0.000269859,0.000269859,0.000269859
13,2222.92,0.84142,1.70864,1.07423,0.54336,0.62737,0.63187,0.49098,0.83168,1.49029,0.96086,0.000263028,0.000263028,0.000263028
14,2350.61,0.83879,1.65704,1.07305,0.60932,0.59882,0.62728,0.50185,0.7667,1.46841,0.94241,0.000256197,0.000256197,0.000256197
15,2479.78,0.83375,1.6222,1.06832,0.61534,0.66346,0.66512,0.52631,0.76346,1.37004,0.93568,0.000249366,0.000249366,0.000249366
16,2607.85,0.82538,1.57889,1.06417,0.68664,0.63054,0.68253,0.53876,0.78156,1.34,0.94513,0.000242535,0.000242535,0.000242535
17,2734.95,0.82106,1.54618,1.06127,0.69477,0.63192,0.70821,0.56357,0.79294,1.31305,0.9596,0.000235704,0.000235704,0.000235704
18,2867.34,0.81021,1.49752,1.05301,0.68339,0.60709,0.69127,0.55666,0.77181,1.332,0.94959,0.000228873,0.000228873,0.000228873
19,2993.53,0.80371,1.46934,1.05041,0.69592,0.66391,0.7367,0.5922,0.76688,1.23999,0.93081,0.000222042,0.000222042,0.000222042
20,3121.27,0.79567,1.42674,1.05055,0.71721,0.67826,0.74668,0.59489,0.78795,1.19649,0.94686,0.000215211,0.000215211,0.000215211
21,3251.32,0.79709,1.40157,1.04591,0.75352,0.65051,0.74073,0.58651,0.82334,1.25087,0.95546,0.00020838,0.00020838,0.00020838
22,3375.82,0.80581,1.39771,1.04922,0.7341,0.69508,0.76809,0.60743,0.77847,1.15697,0.94996,0.000201549,0.000201549,0.000201549
23,3498.88,0.78777,1.35768,1.04291,0.74425,0.69539,0.77429,0.62755,0.74239,1.12162,0.92826,0.000194718,0.000194718,0.000194718
24,3633.19,0.77942,1.33985,1.04063,0.78542,0.68518,0.78032,0.63178,0.74239,1.13163,0.92819,0.000187887,0.000187887,0.000187887
25,3760.78,0.77875,1.30025,1.03667,0.77193,0.7216,0.79778,0.63805,0.75599,1.05871,0.93417,0.000181056,0.000181056,0.000181056
26,3895.55,0.78498,1.29348,1.03985,0.7851,0.69863,0.78878,0.63558,0.75898,1.09412,0.93174,0.000174225,0.000174225,0.000174225
27,4029.76,0.76824,1.26458,1.03499,0.75811,0.70569,0.78823,0.62968,0.76347,1.08708,0.93245,0.000167394,0.000167394,0.000167394
28,4163.34,0.77271,1.25386,1.03179,0.79942,0.72809,0.8111,0.65813,0.7368,1.03495,0.92014,0.000160563,0.000160563,0.000160563
29,4300.66,0.76153,1.22993,1.02903,0.77399,0.74277,0.81704,0.66639,0.72196,1.00114,0.91193,0.000153732,0.000153732,0.000153732
30,4437.55,0.75619,1.21498,1.02768,0.80503,0.73608,0.8277,0.67282,0.74945,1.00357,0.92807,0.000146901,0.000146901,0.000146901
31,4571.2,0.75965,1.1726,1.02489,0.79347,0.76886,0.84742,0.69161,0.72436,0.94171,0.91302,0.00014007,0.00014007,0.00014007
32,4702.33,0.75502,1.17801,1.02583,0.8008,0.73061,0.82548,0.66497,0.75761,0.97376,0.92997,0.000133239,0.000133239,0.000133239
33,4834.89,0.74438,1.14203,1.01878,0.7757,0.73651,0.81962,0.66678,0.74256,0.98496,0.91901,0.000126408,0.000126408,0.000126408
34,4965.45,0.74242,1.14121,1.01848,0.77702,0.75339,0.8339,0.68031,0.72675,0.95562,0.92135,0.000119577,0.000119577,0.000119577
35,5098.34,0.75044,1.11728,1.01938,0.79665,0.74759,0.83967,0.68516,0.75654,0.94027,0.93432,0.000112746,0.000112746,0.000112746
36,5231.63,0.73979,1.09649,1.01758,0.82147,0.76013,0.84834,0.69862,0.71597,0.91717,0.91476,0.000105915,0.000105915,0.000105915
37,5362.99,0.73194,1.08731,1.01324,0.81523,0.76628,0.85567,0.70059,0.71653,0.89403,0.91726,9.9084e-05,9.9084e-05,9.9084e-05
38,5494.39,0.7357,1.07574,1.01475,0.78795,0.7764,0.85317,0.70475,0.71289,0.9062,0.91112,9.2253e-05,9.2253e-05,9.2253e-05
39,5626.59,0.72283,1.06474,1.01058,0.78954,0.7955,0.85725,0.69994,0.71002,0.88143,0.9122,8.5422e-05,8.5422e-05,8.5422e-05
40,5757.2,0.72541,1.06422,1.01091,0.83651,0.74442,0.85994,0.70418,0.70819,0.86456,0.906,7.8591e-05,7.8591e-05,7.8591e-05
41,5888.11,0.63024,0.81531,0.95012,0.81702,0.75838,0.85056,0.69217,0.72513,0.93533,0.91411,7.176e-05,7.176e-05,7.176e-05
42,6018.12,0.61236,0.73469,0.94335,0.80097,0.77568,0.85451,0.69881,0.72066,0.92481,0.91865,6.4929e-05,6.4929e-05,6.4929e-05
43,6149.94,0.60884,0.71539,0.93827,0.81063,0.78313,0.86468,0.70432,0.71645,0.88126,0.9209,5.8098e-05,5.8098e-05,5.8098e-05
44,6281.32,0.60665,0.69588,0.93935,0.81646,0.79307,0.86371,0.7066,0.71615,0.87239,0.91664,5.1267e-05,5.1267e-05,5.1267e-05
45,6410.7,0.60115,0.68051,0.93764,0.80943,0.80698,0.86704,0.71018,0.7164,0.84861,0.91883,4.4436e-05,4.4436e-05,4.4436e-05
46,6539.25,0.5939,0.66597,0.93091,0.83861,0.78228,0.86189,0.70836,0.71,0.86132,0.91613,3.7605e-05,3.7605e-05,3.7605e-05
47,6670.4,0.59148,0.65645,0.93347,0.84075,0.77686,0.85741,0.70247,0.70567,0.85769,0.90839,3.0774e-05,3.0774e-05,3.0774e-05
48,6801.12,0.58809,0.64197,0.93064,0.8222,0.78762,0.85991,0.7047,0.70789,0.85228,0.91103,2.3943e-05,2.3943e-05,2.3943e-05
49,6931.93,0.58491,0.63266,0.92923,0.80685,0.78803,0.86042,0.70761,0.70102,0.85065,0.90854,1.7112e-05,1.7112e-05,1.7112e-05
